county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,8051.10,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",3115,0.7382
17031,8042.01,17,3883,IL,Cook IL, , ,"Barrington Hills village, IL",2168,0.2653
17031,8036.08,17,3844,IL,Cook IL, , ,"Barrington village, IL",1090,0.1488
17031,8042.01,17,3844,IL,Cook IL, , ,"Barrington village, IL",1990,0.2435
17031,8042.02,17,3844,IL,Cook IL, , ,"Barrington village, IL",2551,0.3418
17031,8044.06,17,4013,IL,Cook IL, , ,"Bartlett village, IL",1156,0.185
17031,8045.05,17,4013,IL,Cook IL, , ,"Bartlett village, IL",3740,0.9762
17031,8045.06,17,4013,IL,Cook IL, , ,"Bartlett village, IL",3126,0.5724
17031,8045.07,17,4013,IL,Cook IL, , ,"Bartlett village, IL",8285,0.6639
17031,8045.08,17,4013,IL,Cook IL, , ,"Bartlett village, IL",497,0.2215
17031,8205.01,17,4572,IL,Cook IL, , ,"Bedford Park village, IL",572,0.0935
17031,8209.01,17,4572,IL,Cook IL, , ,"Bedford Park village, IL",8,0.0014
17031,8169.00,17,4975,IL,Cook IL, , ,"Bellwood village, IL",5878,0.9988
17031,8170.00,17,4975,IL,Cook IL, , ,"Bellwood village, IL",5459,1
17031,8171.01,17,4975,IL,Cook IL, , ,"Bellwood village, IL",4542,1
17031,8171.02,17,4975,IL,Cook IL, , ,"Bellwood village, IL",3189,1
17031,8183.00,17,4975,IL,Cook IL, , ,"Bellwood village, IL",3,0.0005
17031,8168.00,17,5404,IL,Cook IL, , ,"Berkeley village, IL",5209,0.9704
17031,8146.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",5723,1
17031,8147.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",5646,1
17031,8148.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",6466,1
17031,8149.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",6181,1
17031,8150.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",4131,1
17031,8151.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",4435,1
17031,8152.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",6967,1
17031,8153.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",3617,1
17031,8154.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",5502,1
17031,8155.00,17,5573,IL,Cook IL, , ,"Berwyn city, IL",7989,1
17031,8212.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",5003,0.8334
17031,8213.00,17,6704,IL,Cook IL, , ,"Blue Island city, IL",5519,1
