GEOID,NAME,tract,county,total_workers,essential,nonessential,conman,food,health,protection,socialservices,transport,total_pop,nonwhite_pct,pov_pct,hh_inc_med
17031620300,"Census Tract 6203, Cook County, Illinois",6203,Cook,3105,0.5951690821,0.4048309179,0.2911433172,0.06054750403,0.07278582931,0.02415458937,0.009017713366,0.1375201288,7784,0.811,0.123,54667
17031620400,"Census Tract 6204, Cook County, Illinois",6204,Cook,1939,0.5848375451,0.4151624549,0.3223310985,0.07323362558,0.0438370294,0.007735946364,0.005157297576,0.1325425477,4503,0.911,0.075,64861
17031630100,"Census Tract 6301, Cook County, Illinois",6301,Cook,394,0.6421319797,0.3578680203,0.2436548223,0.1269035533,0.06345177665,0,0,0.2081218274,950,0.942,0.251,31750
17031630200,"Census Tract 6302, Cook County, Illinois",6302,Cook,820,0.5890243902,0.4109756098,0.3085365854,0.05975609756,0.04756097561,0.02804878049,0.007317073171,0.137804878,2045,0.95,0.264,35707
17031630300,"Census Tract 6303, Cook County, Illinois",6303,Cook,2311,0.6231068801,0.3768931199,0.2665512765,0.1510168758,0.03807875379,0.01730852445,0.01990480312,0.1302466465,5474,0.944,0.102,52278
17031630400,"Census Tract 6304, Cook County, Illinois",6304,Cook,2576,0.7434006211,0.2565993789,0.4173136646,0.1331521739,0.01591614907,0.01086956522,0.01319875776,0.1529503106,6829,0.949,0.243,32683
17031630500,"Census Tract 6305, Cook County, Illinois",6305,Cook,2575,0.7106796117,0.2893203883,0.2796116505,0.08737864078,0.03844660194,0.02951456311,0.02252427184,0.2532038835,6098,0.978,0.218,42434
17031630800,"Census Tract 6308, Cook County, Illinois",6308,Cook,3070,0.674267101,0.325732899,0.3198697068,0.1664495114,0.02019543974,0.01954397394,0.02768729642,0.1205211726,7111,0.967,0.127,45046
17031630900,"Census Tract 6309, Cook County, Illinois",6309,Cook,2117,0.7491733585,0.2508266415,0.4067076051,0.1091166745,0.02881435994,0.03448275862,0.001417099669,0.1686348607,5290,0.958,0.133,46495
17031640100,"Census Tract 6401, Cook County, Illinois",6401,Cook,754,0.6061007958,0.3938992042,0.1737400531,0.02652519894,0.01724137931,0,0.009283819629,0.3793103448,1472,0.674,0.1,44013
17031640300,"Census Tract 6403, Cook County, Illinois",6403,Cook,3456,0.4476273148,0.5523726852,0.1984953704,0.03501157407,0.1160300926,0.02459490741,0.01070601852,0.06278935185,7157,0.668,0.04,68397
17031640400,"Census Tract 6404, Cook County, Illinois",6404,Cook,1688,0.6066350711,0.3933649289,0.2061611374,0.07879146919,0.04383886256,0.1469194313,0.01066350711,0.1202606635,3701,0.459,0.048,68902
17031640500,"Census Tract 6405, Cook County, Illinois",6405,Cook,2081,0.5425276309,0.4574723691,0.1432003844,0.04901489668,0.09082172033,0.08121095627,0.02787121576,0.1504084575,3970,0.525,0.032,83574
17031640600,"Census Tract 6406, Cook County, Illinois",6406,Cook,1802,0.6120976693,0.3879023307,0.2647058824,0.09822419534,0.03218645949,0.03218645949,0.02275249723,0.1620421754,4022,0.588,0.219,44085
17031640700,"Census Tract 6407, Cook County, Illinois",6407,Cook,1386,0.575036075,0.424963925,0.2857142857,0.07936507937,0.03391053391,0.03896103896,0.01370851371,0.1233766234,3608,0.666,0.17,50625
17031640800,"Census Tract 6408, Cook County, Illinois",6408,Cook,808,0.4764851485,0.5235148515,0.2066831683,0.05074257426,0.02103960396,0.007425742574,0.03341584158,0.1571782178,1805,0.789,0.125,52381
17031650100,"Census Tract 6501, Cook County, Illinois",6501,Cook,1830,0.6704918033,0.3295081967,0.3114754098,0.1092896175,0.02568306011,0.04043715847,0.0174863388,0.1661202186,4415,0.865,0.185,44722
17031650200,"Census Tract 6502, Cook County, Illinois",6502,Cook,3054,0.6899148657,0.3100851343,0.3791748527,0.01899148657,0.0304518664,0.01768172888,0,0.2436149312,7211,0.794,0.163,48678
17031650301,"Census Tract 6503.01, Cook County, Illinois",6503.01,Cook,2379,0.5817570408,0.4182429592,0.141656158,0.09331651955,0.04707860446,0.06010928962,0.008827238335,0.2307692308,5276,0.826,0.052,57875
17031650302,"Census Tract 6503.02, Cook County, Illinois",6503.02,Cook,1999,0.6738369185,0.3261630815,0.2976488244,0.1075537769,0.006003001501,0.0005002501251,0.028014007,0.2341170585,4195,0.92,0.175,47321
17031650400,"Census Tract 6504, Cook County, Illinois",6504,Cook,2421,0.6497315159,0.3502684841,0.3680297398,0.07641470467,0.04460966543,0.01569599339,0.005782734407,0.1391986782,6530,0.935,0.157,48634
17031650500,"Census Tract 6505, Cook County, Illinois",6505,Cook,2032,0.5123031496,0.4876968504,0.2268700787,0.03248031496,0.05462598425,0.01033464567,0.01328740157,0.1747047244,4549,0.854,0.116,61972
17031660301,"Census Tract 6603.01, Cook County, Illinois",6603.01,Cook,537,0.6983240223,0.3016759777,0.3091247672,0.1787709497,0.03538175047,0.052141527,0,0.1229050279,1507,0.969,0.328,23976
17031660302,"Census Tract 6603.02, Cook County, Illinois",6603.02,Cook,2077,0.76649013,0.23350987,0.2672123255,0.1738083775,0.03514684641,0.006259027443,0,0.2840635532,5020,0.965,0.246,32880
17031660400,"Census Tract 6604, Cook County, Illinois",6604,Cook,2492,0.6183788122,0.3816211878,0.297752809,0.09430176565,0.06340288925,0.02046548957,0.01364365971,0.128812199,6034,0.929,0.129,43772
17031660500,"Census Tract 6605, Cook County, Illinois",6605,Cook,1691,0.6948551153,0.3051448847,0.4062684802,0.1354228267,0.01360141928,0.02602010645,0.004730928445,0.1088113542,4720,0.939,0.269,39137
